Place,County
Baldwin,"Nassau, NY"
Baldwin Harbor,"Nassau, NY"
Bank Plaza,"Nassau, NY"
Barnum Island,"Nassau, NY"
Baxter Estates,"Nassau, NY"
Bay Colony,"Nassau, NY"
Bay Park,"Nassau, NY"
Bayville,"Nassau, NY"
Bellerose,"Nassau, NY"
Bellerose Terrace,"Nassau, NY"
Bellmore,"Nassau, NY"
Bethpage,"Nassau, NY"
Biltmore Shores,"Nassau, NY"
Birchwood,"Nassau, NY"
Briar Park,"Nassau, NY"
Brookville,"Nassau, NY"
Albertson,"Nassau, NY"
Alden Manor,"Nassau, NY"
Allenwood,"Nassau, NY"
Argo Village,"Nassau, NY"
Arlyn Oaks,"Nassau, NY"
Atlantic Beach,"Nassau, NY"
Carle Place,"Nassau, NY"
Cedarhurst,"Nassau, NY"
Center Avenue,"Nassau, NY"
Centre Island,"Nassau, NY"
Country Life Press,"Nassau, NY"
Cove Neck,"Nassau, NY"
Crown Village,"Nassau, NY"
C.W. Post College,"Nassau, NY"
East Atlantic Beach,"Nassau, NY"
East Garden City,"Nassau, NY"
East Hempstead,"Nassau, NY"
East Hills,"Nassau, NY"
East Massapequa,"Nassau, NY"
East Meadow,"Nassau, NY"
East Norwich,"Nassau, NY"
East Rockaway,"Nassau, NY"
East Williston,"Nassau, NY"
Elmont,"Nassau, NY"
Farmingdale,"Nassau, NY"
Floral Park,"Nassau, NY"
Flower Hill,"Nassau, NY"
Franklin Square,"Nassau, NY"
Freeport,"Nassau, NY"
Garden City,"Nassau, NY"
Garden City Park,"Nassau, NY"
Garden City South,"Nassau, NY"
Glen Head,"Nassau, NY"
Glen Street,"Nassau, NY"
Glenwood Landing,"Nassau, NY"
Grant Park,"Nassau, NY"
Great Neck,"Nassau, NY"
Great Neck Estates,"Nassau, NY"
Great Neck Gardens,"Nassau, NY"
Great Neck Plaza,"Nassau, NY"
Green Acres,"Nassau, NY"
Greenvale,"Nassau, NY"
Grumman,"Nassau, NY"
Harbor Acres,"Nassau, NY"
Harbor Green,"Nassau, NY"
Harbor Hills,"Nassau, NY"
Harbor Isle,"Nassau, NY"
Hempstead,"Nassau, NY"
Hempstead,"Nassau, NY"
Hempstead Gardens,"Nassau, NY"
Herricks,"Nassau, NY"
Herricks,"Nassau, NY"
Hewlett,"Nassau, NY"
Hewlett Bay Park,"Nassau, NY"
Hewlett Harbor,"Nassau, NY"
Hewlett Neck,"Nassau, NY"
Hicksville,"Nassau, NY"
Hillside Heights,"Nassau, NY"
Hillside Manor,"Nassau, NY"
Inwood,"Nassau, NY"
Inwood L I,"Nassau, NY"
Island Park,"Nassau, NY"
Jamaica Square,"Nassau, NY"
Jericho,"Nassau, NY"
Kenilworth,"Nassau, NY"
Kensington,"Nassau, NY"
Kings Point,"Nassau, NY"
Lake Success,"Nassau, NY"
Lakeview,"Nassau, NY"
Lakeville Estates,"Nassau, NY"
Landia,"Nassau, NY"
Lattingtown,"Nassau, NY"
Laurel Hollow,"Nassau, NY"
Lawrence,"Nassau, NY"
Lawrence Beach,"Nassau, NY"
Levittown,"Nassau, NY"
Lido Beach,"Nassau, NY"
Locust Grove,"Nassau, NY"
Locust Valley,"Nassau, NY"
Locustwood,"Nassau, NY"
Long Beach,"Nassau, NY"
Lynbrook,"Nassau, NY"
Malverne,"Nassau, NY"
Malverne Park Oaks,"Nassau, NY"
Manhasset,"Nassau, NY"
Manhasset Hills,"Nassau, NY"
Manorhaven,"Nassau, NY"
Massapequa,"Nassau, NY"
Massapequa Park,"Nassau, NY"
Matinecock,"Nassau, NY"
Meacham,"Nassau, NY"
Meadowmere Park,"Nassau, NY"
Merillon Avenue,"Nassau, NY"
Merrick,"Nassau, NY"
Merriweather Campus,"Nassau, NY"
Mill Neck,"Nassau, NY"
Mineola,"Nassau, NY"
Mitchell Field,"Nassau, NY"
Munsey Park,"Nassau, NY"
Muttontown,"Nassau, NY"
Nassau Boulevard,"Nassau, NY"
Nassau Shores,"Nassau, NY"
New Cassel,"Nassau, NY"
New Hyde Park,"Nassau, NY"
North Baldwin,"Nassau, NY"
North Bellmore,"Nassau, NY"
North Hempstead,"Nassau, NY"
North Hills,"Nassau, NY"
North Lynbrook,"Nassau, NY"
North Massapequa,"Nassau, NY"
North Merrick,"Nassau, NY"
North New Hyde Park,"Nassau, NY"
North Rockville Centre,"Nassau, NY"
North Roslyn,"Nassau, NY"
North Seaford,"Nassau, NY"
North Valley Stream,"Nassau, NY"
North Wantagh,"Nassau, NY"
North Woodmere,"Nassau, NY"
Oceanside,"Nassau, NY"
Old Bethpage,"Nassau, NY"
Old Bethpage Branch,"Nassau, NY"
Old Brookville,"Nassau, NY"
Old Northport,"Nassau, NY"
Old Village,"Nassau, NY"
Old Westbury,"Nassau, NY"
Oyster Bay,"Nassau, NY"
Oyster Bay,"Nassau, NY"
Oyster Bay Cove,"Nassau, NY"
Parcel Post,"Nassau, NY"
Plainedge,"Nassau, NY"
Plainview,"Nassau, NY"
Plandome,"Nassau, NY"
Plandome Heights,"Nassau, NY"
Plandome Manor,"Nassau, NY"
Point Lookout,"Nassau, NY"
Port Washington,"Nassau, NY"
Port Washington North,"Nassau, NY"
Rockville Centre,"Nassau, NY"
Roosevelt,"Nassau, NY"
Roosevelt Field,"Nassau, NY"
Rosalyn Heights,"Nassau, NY"
Roslyn,"Nassau, NY"
Roslyn Air National Guard Station,"Nassau, NY"
Roslyn Estates,"Nassau, NY"
Roslyn Harbor,"Nassau, NY"
Roslyn Heights,"Nassau, NY"
Russell Gardens,"Nassau, NY"
Saddle Rock,"Nassau, NY"
Saddle Rock Estates,"Nassau, NY"
Sagamore Hill National Historic Site,"Nassau, NY"
Salisbury,"Nassau, NY"
Sands Point,"Nassau, NY"
Sea Cliff,"Nassau, NY"
Seaford,"Nassau, NY"
Searingtown,"Nassau, NY"
South Farmingdale,"Nassau, NY"
South Farmingdale,"Nassau, NY"
South Floral Park,"Nassau, NY"
South Hempstead,"Nassau, NY"
South Plainedge,"Nassau, NY"
South Valley Stream,"Nassau, NY"
South Westbury,"Nassau, NY"
Stewart Manor,"Nassau, NY"
Strathmore,"Nassau, NY"
Syosset,"Nassau, NY"
The Terrace,"Nassau, NY"
Thomaston,"Nassau, NY"
Uniondale,"Nassau, NY"
University Gardens,"Nassau, NY"
Upper Brookville,"Nassau, NY"
Valley,"Nassau, NY"
Valley Stream,"Nassau, NY"
Wantagh,"Nassau, NY"
West Amityville,"Nassau, NY"
Westbury,"Nassau, NY"
Westbury South,"Nassau, NY"
West Hempstead,"Nassau, NY"
Westwood,"Nassau, NY"
Wheatley,"Nassau, NY"
Williston Park,"Nassau, NY"
Woodbury,"Nassau, NY"
Woodmere,"Nassau, NY"
Woodsburgh,"Nassau, NY"
Rockville Center,"Nassau, NY"
Glen Cove,"Nassau, NY"
Jones Beach,"Nassau, NY"
MiniVan - Lev,"Nassau, NY"
Nassau County,"Nassau, NY"
Suffolk County,"Suffolk, NY"
Babylon,"Suffolk, NY"
Babylon,"Suffolk, NY"
Baiting Hollow,"Suffolk, NY"
Barnes Hole,"Suffolk, NY"
Barnes Landing,"Suffolk, NY"
Bayberry Dunes,"Suffolk, NY"
Bay Point,"Suffolk, NY"
Bayport,"Suffolk, NY"
Bay Shore,"Suffolk, NY"
Bayview,"Suffolk, NY"
Baywood,"Suffolk, NY"
Beach Hampton,"Suffolk, NY"
Beixedon Estates,"Suffolk, NY"
Belle Terre,"Suffolk, NY"
Bellport,"Suffolk, NY"
Bellview Beach,"Suffolk, NY"
Bergen Park,"Suffolk, NY"
Blue Point,"Suffolk, NY"
Bohemia,"Suffolk, NY"
Brentwood,"Suffolk, NY"
Bridgehampton,"Suffolk, NY"
Brightwaters,"Suffolk, NY"
Brookhaven,"Suffolk, NY"
Brookhaven,"Suffolk, NY"
Amagansett,"Suffolk, NY"
Amity Harbor,"Suffolk, NY"
Amityville,"Suffolk, NY"
Apaquogue,"Suffolk, NY"
Aquebogue,"Suffolk, NY"
Arshamonaque,"Suffolk, NY"
Art Village,"Suffolk, NY"
Asharoken,"Suffolk, NY"
Atlantique,"Suffolk, NY"
Calverton,"Suffolk, NY"
Calverton-Roanoke,"Suffolk, NY"
Canoe Place,"Suffolk, NY"
Captain Kidd Estates,"Suffolk, NY"
Centereach,"Suffolk, NY"
Center Moriches,"Suffolk, NY"
Centerport,"Suffolk, NY"
Centerville,"Suffolk, NY"
Central Islip,"Suffolk, NY"
Cherry Grove,"Suffolk, NY"
Cobb,"Suffolk, NY"
Cold Spring Harbor,"Suffolk, NY"
Cold Spring Harbor,"Suffolk, NY"
Cold Spring Terrace,"Suffolk, NY"
Colonial Springs,"Suffolk, NY"
Commack,"Suffolk, NY"
Copiague,"Suffolk, NY"
Coram,"Suffolk, NY"
Crab Meadow,"Suffolk, NY"
Crystal Brook,"Suffolk, NY"
Cutchogue,"Suffolk, NY"
Cutchogue-New Suffolk,"Suffolk, NY"
Cutchogue Station,"Suffolk, NY"
Davis Park,"Suffolk, NY"
Deerfield,"Suffolk, NY"
Deer Park,"Suffolk, NY"
Denton Hills,"Suffolk, NY"
Dering Harbor,"Suffolk, NY"
Devon,"Suffolk, NY"
Ditch Plains,"Suffolk, NY"
Divinity Hill,"Suffolk, NY"
Dix Hills,"Suffolk, NY"
Dunewood,"Suffolk, NY"
East Brentwood,"Suffolk, NY"
East Cutchogue,"Suffolk, NY"
East Farmingdale,"Suffolk, NY"
East Half Hollow Hills,"Suffolk, NY"
East Hampton,"Suffolk, NY"
East Hampton,"Suffolk, NY"
East Hampton North,"Suffolk, NY"
East Hauppauge,"Suffolk, NY"
East Huntington,"Suffolk, NY"
East Islip,"Suffolk, NY"
East Lake Ronkonkoma,"Suffolk, NY"
East Marion,"Suffolk, NY"
East Moriches,"Suffolk, NY"
East Neck,"Suffolk, NY"
East Neck,"Suffolk, NY"
East Northport,"Suffolk, NY"
East Patchogue,"Suffolk, NY"
Eastport,"Suffolk, NY"
East Quogue,"Suffolk, NY"
East Setauket,"Suffolk, NY"
East Shoreham,"Suffolk, NY"
Eastside,"Suffolk, NY"
Eatons Neck,"Suffolk, NY"
Edgewood,"Suffolk, NY"
Elwood,"Suffolk, NY"
Elwood,"Suffolk, NY"
Elwood Farms,"Suffolk, NY"
Fair Harbor,"Suffolk, NY"
Farmingville,"Suffolk, NY"
Fire Island,"Suffolk, NY"
Fire Island National Seashore,"Suffolk, NY"
Fire Island Pines,"Suffolk, NY"
Fireplace,"Suffolk, NY"
Fireplace Lodge Girls Camp,"Suffolk, NY"
Fishers Island,"Suffolk, NY"
Flanders,"Suffolk, NY"
Flowerfield Estates,"Suffolk, NY"
Flying Point,"Suffolk, NY"
Fort Hill,"Suffolk, NY"
Fort Salonga,"Suffolk, NY"
Freetown,"Suffolk, NY"
Gardiners Bay Estates,"Suffolk, NY"
Gardiners Island,"Suffolk, NY"
Georgica,"Suffolk, NY"
Gerard Park,"Suffolk, NY"
Gilgo,"Suffolk, NY"
Gilgo Beach,"Suffolk, NY"
Goose Bay Estates,"Suffolk, NY"
Gordon Heights,"Suffolk, NY"
Great River,"Suffolk, NY"
Great River,"Suffolk, NY"
Greenlawn,"Suffolk, NY"
Greenport,"Suffolk, NY"
Greenport West,"Suffolk, NY"
Hagerman,"Suffolk, NY"
Halesite,"Suffolk, NY"
Half Hollow,"Suffolk, NY"
Half Hollow Hills,"Suffolk, NY"
Hampton Bays,"Suffolk, NY"
Hampton Beach,"Suffolk, NY"
Hampton Park,"Suffolk, NY"
Harbor Heights Park,"Suffolk, NY"
Hardscrabble,"Suffolk, NY"
Hauppauge,"Suffolk, NY"
Hayground,"Suffolk, NY"
Head of the Harbor,"Suffolk, NY"
Heatherwood North,"Suffolk, NY"
Heatherwood South,"Suffolk, NY"
Holbrook,"Suffolk, NY"
Holbrook-Holtsville,"Suffolk, NY"
Holtsville,"Suffolk, NY"
Huntington,"Suffolk, NY"
Huntington,"Suffolk, NY"
Huntington,"Suffolk, NY"
Huntington Bay,"Suffolk, NY"
Huntington Beach,"Suffolk, NY"
Huntington Station,"Suffolk, NY"
Idle Hour,"Suffolk, NY"
Islandia,"Suffolk, NY"
Islip,"Suffolk, NY"
Islip,"Suffolk, NY"
Islip Manor,"Suffolk, NY"
Islip Terrace,"Suffolk, NY"
Jamesport,"Suffolk, NY"
Jericho,"Suffolk, NY"
Jersey Colony,"Suffolk, NY"
Kings Park,"Suffolk, NY"
Kingstown,"Suffolk, NY"
Kismet,"Suffolk, NY"
Lafarges Landing,"Suffolk, NY"
Lake Grove,"Suffolk, NY"
Lakeland,"Suffolk, NY"
Lake Panamoka,"Suffolk, NY"
Lake Ronkonkoma,"Suffolk, NY"
Lake Ronkonkoma Heights,"Suffolk, NY"
Laughing Waters,"Suffolk, NY"
Laurel,"Suffolk, NY"
Lefferts Mill,"Suffolk, NY"
Lindenhurst,"Suffolk, NY"
Little Plains,"Suffolk, NY"
Lloyd Harbor,"Suffolk, NY"
Lonelyville,"Suffolk, NY"
Long Island MacArthur Airport,"Suffolk, NY"
Lower Melville,"Suffolk, NY"
Luce Landing,"Suffolk, NY"
Madison Park,"Suffolk, NY"
Maidstone Park,"Suffolk, NY"
Mall,"Suffolk, NY"
Manorville,"Suffolk, NY"
Mastic,"Suffolk, NY"
Mastic Beach,"Suffolk, NY"
Mastic-Shirley,"Suffolk, NY"
Mattituck,"Suffolk, NY"
Maywood,"Suffolk, NY"
Mecox,"Suffolk, NY"
Medford,"Suffolk, NY"
Melville,"Suffolk, NY"
Middle Island,"Suffolk, NY"
Middleville,"Suffolk, NY"
Midhampton,"Suffolk, NY"
